tipnames,virus_subtype,isolate_id,isolate_name,collection_date,collection_datemonth,collection_dateyear,host_class,host_order,host_family,host_sciname,host_commonname,host_isbird,host_isdomestic,host_simplifiedhost,collection_regionname,collection_countryname,collection_countrycode,collection_countrylat,collection_countrylong,collection_subdiv1name,collection_subdiv1code,collection_subdiv1lat,collection_subdiv1long,collection_original,profile_lab,date_frac,cluster_profile,cluster_label,clade,collection_tipdate,cluster_number,collection_dateerror
H5N3|2344b|EPI_ISL_2172530|accipitriformes|netherlands|1_1_2_1_10_8_1_1|2021-02-22,H5N3,EPI_ISL_2172530,a/common_buzzard/netherlands/21024357-002/2021,2021-02-22,2021-02,2021,Aves,accipitriformes,accipitridae,buteo buteo,common buzzard,TRUE,wild,other,western europe,netherlands,nld,52.2573048104135,5.56251311224367,fryslân,nl.fr,53.1100430768808,5.84863928632393,Europe / Netherlands / Provincie Friesland / Oostbierum / NA,H5N3/2020/R1_Europe,NA,1_1_2_1_10_8_1_1,H5N3/2021/R1_Europe,2344b,2021-02-22,cluster008,FALSE
H5N3|2344b|EPI_ISL_2234831|falconiformes|united_kingdom|1_1_2_1_10_8_1_1|2021-01-25,H5N3,EPI_ISL_2234831,a/peregrine_falcon/northern_ireland/21vir1662-3/2021,2021-01-25,2021-01,2021,Aves,falconiformes,falconidae,falco peregrinus,peregrine falcon,TRUE,wild,other,northern europe,united kingdom,gbr,54.0438440515314,-2.78687513666638,NA,NA,NA,NA,Europe / United Kingdom / NA / NA / NA,H5N3/2020/R1_Europe,NA,1_1_2_1_10_8_1_1,H5N3/2021/R1_Europe,2344b,2021-01-25,cluster008,FALSE
H5N3|2344b|EPI_ISL_11392591|falconiformes|united_kingdom|1_1_2_1_10_8_1_1|2021-01-22,H5N3,EPI_ISL_11392591,a/peregrine_falcon/northern_ireland/ai102021-2/2021,2021-01-22,2021-01,2021,Aves,falconiformes,falconidae,falco peregrinus,peregrine falcon,TRUE,wild,other,northern europe,united kingdom,gbr,54.0438440515314,-2.78687513666638,NA,NA,NA,NA,Europe / United Kingdom / Northern Ireland / NA / NA,H5N3/2020/R1_Europe,NA,1_1_2_1_10_8_1_1,H5N3/2021/R1_Europe,2344b,2021-01-22,cluster008,FALSE
H5N3|2344b|EPI_ISL_1063993|falconiformes|denmark|1_1_2_1_10_8_1_1|2021-01-01,H5N3,EPI_ISL_1063993,a/common_kestrel/denmark/16023-01/2021-01-01/NA,2021-01-01,2021-01,2021,Aves,falconiformes,falconidae,falco tinnunculus,eurasian kestrel,TRUE,wild,other,northern europe,denmark,dnk,55.9512996898935,10.0707816763207,syddanmark,dk.sd,55.3568797999445,9.45020901930698,Europe / Denmark / Region Syddanmark / Kolding Kommune / NA,H5N3/2020/R1_Europe,NA,1_1_2_1_10_8_1_1,H5N3/2021/R1_Europe,2344b,2021-01-01,cluster008,FALSE
H5N3|2344b|EPI_ISL_1259397|charadriiformes|france|1_1_2_1_10_8_1_1|2021-01-22,H5N3,EPI_ISL_1259397,a/curlew/france/21p003648/2021,2021-01-22,2021-01,2021,Aves,charadriiformes,scolopacidae,numenius sp.,curlew sp.,TRUE,wild,charadriiformes-wild,western europe,france,fra,46.5103009447381,2.5780749353201,normandie,fr.nd,49.1207774760085,0.103954251480573,Europe / France / Basse-Normandie / Departement de la Manche / NA,H5N3/2020/R1_Europe,NA,1_1_2_1_10_8_1_1,H5N3/2021/R1_Europe,2344b,2021-01-22,cluster008,FALSE
H5N3|2344b|EPI_ISL_1205487|charadriiformes|germany|1_1_2_1_10_8_1_1|2020-12-14,H5N3,EPI_ISL_1205487,a/red_knot/germany-sh/ai03421/2020,2020-12-14,2020-12,2020,Aves,charadriiformes,scolopacidae,calidris canutus,red knot,TRUE,wild,charadriiformes-wild,western europe,germany,deu,51.0533277435649,10.373650933319,schleswig-holstein,de.sh,54.1814850326718,9.81577342948134,Europe / Germany / Schleswig-Holstein / Nordfriesland / NA,H5N3/2020/R1_Europe,NA,1_1_2_1_10_8_1_1,H5N3/2021/R1_Europe,2344b,2020-12-14,cluster008,FALSE
H5N3|2344b|EPI_ISL_1206285|charadriiformes|germany|1_1_2_1_10_8_1_1|2020-12-30,H5N3,EPI_ISL_1206285,a/red_knot/germany-ni/ai00394/2020,2020-12-30,2020-12,2020,Aves,charadriiformes,scolopacidae,calidris canutus,red knot,TRUE,wild,charadriiformes-wild,western europe,germany,deu,51.0533277435649,10.373650933319,niedersachsen,de.ni,52.7642105761026,9.16783937293005,Europe / Germany / Lower Saxony / Aurich / NA,H5N3/2020/R1_Europe,NA,1_1_2_1_10_8_1_1,H5N3/2021/R1_Europe,2344b,2020-12-30,cluster008,FALSE
H5N3|2344b|EPI_ISL_1205485|charadriiformes|germany|1_1_2_1_10_8_1_1|2020-12-14,H5N3,EPI_ISL_1205485,a/red_knot/germany-sh/ai03419/2020,2020-12-14,2020-12,2020,Aves,charadriiformes,scolopacidae,calidris canutus,red knot,TRUE,wild,charadriiformes-wild,western europe,germany,deu,51.0533277435649,10.373650933319,schleswig-holstein,de.sh,54.1814850326718,9.81577342948134,Europe / Germany / Schleswig-Holstein / Nordfriesland / NA,H5N3/2020/R1_Europe,NA,1_1_2_1_10_8_1_1,H5N3/2021/R1_Europe,2344b,2020-12-14,cluster008,FALSE
H5N3|2344b|EPI_ISL_1205489|charadriiformes|germany|1_1_2_1_10_8_1_1|2020-12-16,H5N3,EPI_ISL_1205489,a/red_knot/germany-sh/ai03424/2020,2020-12-16,2020-12,2020,Aves,charadriiformes,scolopacidae,calidris canutus,red knot,TRUE,wild,charadriiformes-wild,western europe,germany,deu,51.0533277435649,10.373650933319,schleswig-holstein,de.sh,54.1814850326718,9.81577342948134,Europe / Germany / Schleswig-Holstein / Nordfriesland / NA,H5N3/2020/R1_Europe,NA,1_1_2_1_10_8_1_1,H5N3/2021/R1_Europe,2344b,2020-12-16,cluster008,FALSE
H5N3|2344b|EPI_ISL_1048239|accipitriformes|netherlands|1_1_2_1_10_8_1_1|2021-01-04,H5N3,EPI_ISL_1048239,a/common_buzzard/netherlands/21021023-002/2021,2021-01-04,2021-01,2021,Aves,accipitriformes,accipitridae,buteo buteo,common buzzard,TRUE,wild,other,western europe,netherlands,nld,52.2573048104135,5.56251311224367,gelderland,nl.ge,52.0617180422494,5.94466833784019,Europe / Netherlands / Provincie Groningen / Gemeente Delfzijl / NA,H5N3/2020/R1_Europe,NA,1_1_2_1_10_8_1_1,H5N3/2021/R1_Europe,2344b,2021-01-04,cluster008,FALSE
