tipnames	virus_subtype	collection_regionname	collection_countryname	collection_original	cluster_profile	host_simplifiedhost	lat	long
H3N8|2344b|EPI_ISL_18414925|anseriformes|mongolia|NA|2022-05-01	H3N8	eastern asia	mongolia	NA	NA	anseriformes-wild	46.9660284560213	103.138307461425
H3N8|2344b|EPI_ISL_4031115|anseriformes|india|NA|2015-12-02	H3N8	southern asia	india	NA	NA	anseriformes-wild	26.3595322763732	92.8204751335464
H3N8|2344b|EPI_ISL_14390393|anseriformes|belgium|NA|2021-09-02	H3N8	western europe	belgium	NA	NA	anseriformes-wild	50.64017310615	4.66939027974939
H3N8|2344b|EPI_ISL_14931849|anseriformes|russia|NA|2021-11-07	H3N8	eastern europe	russia	NA	NA	anseriformes-wild	55.6406420692902	37.6789932871434
H5N8|2344b|EPI_ISL_739691|galliformes|russia|2_1_1_1_1_33_1_2|2020-09-20	H5N8	central asia	russia	Europe / Russia / Novosibirsk region / NA / NA	2_1_1_1_1_33_1_2	galliformes-domestic	55.2762232202593	79.7845914423443
H6N8|2344b|EPI_ISL_7987332|galliformes|italy|NA|2021-08-10	H6N8	southern europe	italy	NA	NA	galliformes-domestic	42.7080607219025	12.208345049127
H3N8|2344b|EPI_ISL_30805|charadriiformes|netherlands|NA|2007-01-01	H3N8	western europe	netherlands	NA	NA	charadriiformes-wild	52.2573048104135	5.56251311224367
H3N8|2344b|EPI_ISL_138680|anseriformes|united_states|NA|2011-09-19	H3N8	northern america	united states	NA	NA	anseriformes-wild	32.6403385373358	-83.4405725551842
H5N8|2344b|EPI_ISL_739688|galliformes|russia|3_2_3_1_1_2_1_2|2020-09-22	H5N8	central asia	russia	Europe / Russia / Novosibirsk region / NA / NA	3_2_3_1_1_2_1_2	galliformes-domestic	55.2762232202593	79.7845914423443
H5N8|2344b|EPI_ISL_3102080|galliformes|austria|3_2_3_1_1_2_1_2|2021-04-27	H5N8	western europe	austria	Europe / Austria / Oberneukirchen / NA / NA	3_2_3_1_1_2_1_2	galliformes-domestic	48.1371934331394	13.9653618911462
H5N8|2344b|EPI_ISL_5049590|galliformes|luxembourg|3_2_3_1_1_2_1_2|2021-09-03	H5N8	western europe	luxembourg	Europe / Luxembourg / District de Grevenmacher / NA / NA	3_2_3_1_1_2_1_2	galliformes-domestic	49.6868212553332	6.34949296820615
H5N8|2344b|EPI_ISL_4396748|galliformes|belgium|3_2_3_1_1_2_1_2|2021-08-30	H5N8	western europe	belgium	Europe / Belgium / Provincie West-Vlaanderen / NA / NA	3_2_3_1_1_2_1_2	galliformes-domestic	51.0391095671615	4.2420548599892
H5N8|2344b|EPI_ISL_1665257|anseriformes|austria|3_2_3_1_1_2_1_2|2021-02-04	H5N8	western europe	austria	Europe / Austria / Tulln / NA / NA	3_2_3_1_1_2_1_2	anseriformes-wild	48.2718646696418	15.7529218938467
H5N8|2344b|EPI_ISL_1665259|anseriformes|austria|3_2_3_1_1_2_1_2|2021-02-01	H5N8	western europe	austria	Europe / Austria / Vienna / NA / NA	3_2_3_1_1_2_1_2	anseriformes-wild	48.2089421257604	16.3790253882177
H5N8|2344b|EPI_ISL_1399244|anseriformes|czechia|3_2_3_1_1_2_1_2|2021-03-04	H5N8	eastern europe	czechia	Europe / Czech Republic / Olomoucky Kraj / Okres Olomouc / Chomoutov	3_2_3_1_1_2_1_2	anseriformes-wild	49.7786245115919	17.190355445158
H5N8|2344b|EPI_ISL_1399242|anseriformes|czechia|3_2_3_1_1_2_1_2|2021-03-04	H5N8	eastern europe	czechia	Europe / Czech Republic / Zlinsky Kraj / Okres Uherske Hradiste / Ostrozska jezera, Ostrozska Nova Ves-Chylice	3_2_3_1_1_2_1_2	anseriformes-wild	49.2395239668424	17.7694110590927
H5N8|2344b|EPI_ISL_1033124|anseriformes|czechia|3_2_3_1_1_2_1_2|2021-02-04	H5N8	eastern europe	czechia	Europe / Czech Republic / Jihocesky Kraj / Okres Strakonice / Strakonice	3_2_3_1_1_2_1_2	anseriformes-wild	49.0928166218663	14.4391547985202
H5N8|2344b|EPI_ISL_1697195|anseriformes|czechia|3_2_3_1_1_2_1_2|2021-03-19	H5N8	eastern europe	czechia	Europe / Czech Republic / Pardubicky kraj / Okres Pardubice / Vapno; GPS: 50.1074822N, 15.5273825E	3_2_3_1_1_2_1_2	anseriformes-wild	49.9006406346158	16.1892997029385
H5N8|2344b|EPI_ISL_1697181|galliformes|czechia|3_2_3_1_1_2_1_2|2021-03-29	H5N8	eastern europe	czechia	Europe / Czech Republic / Kralovehradecky Kraj / Okres Hradec Kralove / Kosicky	3_2_3_1_1_2_1_2	galliformes-domestic	50.3852537596798	15.8661896036913
H5N8|2344b|EPI_ISL_1399233|galliformes|czechia|3_2_3_1_1_2_1_2|2021-02-27	H5N8	eastern europe	czechia	Europe / Czech Republic / Plzensky Kraj / Okres Klatovy / Hnevnice; GPS: N 49Â°44.08495, E 13Â°6.00505	3_2_3_1_1_2_1_2	galliformes-domestic	49.5901077813144	13.2328532454248
H5N8|2344b|EPI_ISL_1697187|galliformes|czechia|3_2_3_1_1_2_1_2|2021-04-03	H5N8	eastern europe	czechia	Europe / Czech Republic / Hlavni mesto Praha / Okres Praha / Trebotov; GPS: 49.6993983N, 14.2870908E	3_2_3_1_1_2_1_2	galliformes-domestic	50.0636978575423	14.4763649175255
H5N8|2344b|EPI_ISL_1399241|galliformes|czechia|3_2_3_1_1_2_1_2|2021-03-06	H5N8	eastern europe	czechia	Europe / Czech Republic / Morovskoslezsky Kraj / Okres Opava / Vyhon, Velke Hostice; GPS: N 49Â°55.89045, E 17Â°58.67035	3_2_3_1_1_2_1_2	galliformes-domestic	49.8368899304208	17.9578982609586
H5N8|2344b|EPI_ISL_5095650|galliformes|germany|3_2_3_1_1_2_1_2|2021-01-30	H5N8	western europe	germany	Europe / Germany / Brandenburg / Uckermark / NA	3_2_3_1_1_2_1_2	galliformes-domestic	52.4686720071996	13.4043192497063
H5N8|2344b|EPI_ISL_5145921|galliformes|germany|3_2_3_1_1_2_1_2|2021-03-24	H5N8	western europe	germany	Europe / Germany / Baden-Wuerttemberg / BÃ¶blingen / NA	3_2_3_1_1_2_1_2	galliformes-domestic	48.5335196122676	9.04442576424602
H5N8|2344b|EPI_ISL_5102136|galliformes|germany|3_2_3_1_1_2_1_2|2021-03-02	H5N8	western europe	germany	Europe / Germany / Bavaria / Schwandorf / NA	3_2_3_1_1_2_1_2	galliformes-domestic	48.9386109033625	11.4278546586472
H5N8|2344b|EPI_ISL_5116063|anseriformes|germany|3_2_3_1_1_2_1_2|2021-02-26	H5N8	western europe	germany	Europe / Germany / Hessen / Offenbach a. Main / . Main	3_2_3_1_1_2_1_2	anseriformes-wild	50.5991757228504	9.0260509036638
